hcpcs_code,total_paid,total_claims,total_beneficiaries,row_count
G0470,218869824.68,2840885,1664418,32515
J9299,218833808.12,58628,32329,1873
S0209,217726660.85,11902331,2238722,26543
H1000,217036113.39,3806903,2648457,81119
77386,216592019.82,617220,66212,4046
T2041,216586066.92,2034915,834321,8492
S9131,215395305.97,2428714,676452,16122
90686,215019971.16,39418111,36581952,941983
20610,212542487.37,4405258,3379994,151830
J2357,211941354.34,200747,125492,5278
92551,210908982.4,27777717,25264651,682390
93975,209733569.19,1738648,1620732,50796
B9998,209316823.14,2813893,2009723,21639
96130,207388542.01,1581880,1326283,46320
S1040,206839606.87,110678,101807,3262
99442,206263582.1,6947129,6001186,173687
82728,205378730.24,24366788,22272527,273761
G0152,205197203.12,2461129,832707,28520
93971,204954171.49,4092967,3621521,150524
U0002,204076705.38,6210758,5428439,90526
93000,203451508.15,17752329,16484758,565327
99243,203078127.83,2585480,2434915,99880
T1026,202484171.81,889379,123497,4916
W5102,202056388.41,3239702,178724,3146
84484,199138500.2,35694360,26224993,447600
85027,198500353.24,55481270,44429948,456082
S5000,198479996.9,2860620,1025483,19510
T4543,197921364.54,1213542,1129538,19981
Y7506,197484613.66,631738,520561,21963
73630,197309135.5,12150407,10259311,404207
D2140,195436667.28,3698163,2178549,89155
0121,195036714.25,42371,38418,982
G0396,194772739.27,2004928,1060264,14868
D1310,194252474.96,7338232,7117010,116842
0510,193857780.11,4708309,4060330,33775
J7307,192296833.53,263743,250422,11096
92526,191862437.24,3250542,901440,32676
J9035,191339800.77,1397103,1075483,43028
31231,191286542.97,1506818,1413367,49385
96127,191095122.06,29799481,25328892,746314
H0033,190768712.17,5566170,811170,16985
82607,188433743.37,25044730,23495912,181937
J1756,188316644.32,12371569,3099152,139758
86803,187006869.94,23217937,22055369,132486
T4544,186934153.47,1404409,1298559,14644
D7230,185956575.26,1015698,529484,24978
0821,185288358.44,459650,72142,3038
E0562,184346130.54,7013831,6329717,122134
T2029,184034402.25,1449563,1184529,10384
G9006,183954667.36,2206712,1574953,14949
B4152,183857636.54,2104119,1505456,37492
A0140,183806268.87,428414,195588,609
0658,181973968.29,219770,37889,1948
